Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C18, C7, C8, C9",CP_Radial_D4.0mm_P1.50mm,6,1uF_50V,
"C11, C17",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,1nF_Ceramic,
"C12, C13",CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,2,220 pF,
"C14, C15",CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,2,39 pF,
C16,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,1,22 pF,
"C19, C20",CP_Elec_3x5.3,2,0.1uF,
"C2, C3, C4, C5",CP_Radial_D4.0mm_P1.50mm,4,2.2uF_50V,
C6,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,100nF_Ceramic,
D1,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,1,WS2812,
J1,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle,
"J10, J9",PinSocket_1x04_P2.54mm_Vertical,2,PINHD_1x4_Female,
"J2, J3",PinHeader_1x04_P1.00mm_Vertical,2,Conn_01x04,
J4,RJ45_UDE_RB1-125B8G1A,1,RJ45_RB1-125B8G1A,
J5,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,JST_06,
J6,PinSocket_1x09_P2.54mm_Vertical,1,PINHD_1x9_Female,
"J7, J8",PinSocket_1x10_P2.54mm_Vertical,2,PINHD_1x10_Female,
"L1, L2",01005,2,560 nH,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED7, LED8, LED9",0402,64,LED_0402_Red,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,33ohm,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,27k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
"R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,330ohm,
"SW1, SW2, SW3, SW4",SW_SPST_TS-1088-xR020,4,Push_Button,
"TP1, TP2",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
"U1, U4",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,
U2,SOT-23-5,1,AP2112K-3.3,
"U3, U5",WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,2,ww,
U6,SOIC-24W_7.5x15.4mm_P1.27mm,1,MAX7219,
U7,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,ST25R3911B-AQF,
U8,LQFP-48_7x7mm_P0.5mm,1,W5500,
"X1, X2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,SMD3225-4,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
