Designator,Mid X,Mid Y,Rotation,Layer
C1,90.25,-122.5,0.0,top
C10,93.75,-38.0,0.0,top
C11,92.75,-84.0,0.0,top
C12,100.6725,-104.5,90.0,top
C13,107.2075,-104.5,90.0,top
C14,113.7425,-104.5,90.0,top
C15,120.2775,-104.5,90.0,top
C16,126.8125,-104.5,90.0,top
C17,92.75,-88.05,0.0,top
C18,85.25,-38.0,0.0,top
C19,84.5,-56.0,180.0,top
C2,66.25,-73.0,0.0,top
C20,104.0,-56.5,180.0,top
C3,90.75,-63.0,0.0,top
C4,113.25,-63.5,0.0,top
C5,103.25,-38.5,0.0,top
C6,63.75,-141.5,0.0,top
C7,64.25,-87.0,0.0,top
C8,84.25,-99.0,0.0,top
C9,113.25,-38.0,0.0,top
D1,70.05,-99.9,0.0,top
J1,112.55,-165.325,0.0,top
J10,49.5,-158.31,0.0,top
J2,86.5,-74.5,0.0,top
J3,98.5,-63.0,0.0,top
J4,91.5,-159.005,0.0,top
J5,63.75,-55.0,0.0,top
J6,50.5,-65.5,0.0,top
J7,50.5,-94.27,0.0,top
J8,50.0,-124.15,0.0,top
J9,49.5,-144.81,0.0,top
L1,88.5,-106.85,0.0,top
L2,88.5,-108.5,0.0,top
LED1,50.765,-31.42,0.0,top
LED10,53.885,-33.94,0.0,top
LED11,53.885,-36.46,0.0,top
LED12,53.885,-38.98,0.0,top
LED13,53.885,-41.5,0.0,top
LED14,53.885,-44.02,0.0,top
LED15,53.885,-46.54,0.0,top
LED16,53.885,-49.06,0.0,top
LED17,57.005,-31.42,0.0,top
LED18,57.005,-33.94,0.0,top
LED19,57.005,-36.46,0.0,top
LED2,50.765,-33.94,0.0,top
LED20,57.005,-38.98,0.0,top
LED21,57.005,-41.5,0.0,top
LED22,57.005,-44.02,0.0,top
LED23,57.005,-46.54,0.0,top
LED24,57.005,-49.06,0.0,top
LED25,60.125,-31.42,0.0,top
LED26,60.125,-33.94,0.0,top
LED27,60.125,-36.46,0.0,top
LED28,60.125,-38.98,0.0,top
LED29,60.125,-41.5,0.0,top
LED3,50.765,-36.46,0.0,top
LED30,60.125,-44.02,0.0,top
LED31,60.125,-46.54,0.0,top
LED32,60.125,-49.06,0.0,top
LED33,63.245,-31.42,0.0,top
LED34,63.245,-33.94,0.0,top
LED35,63.245,-36.46,0.0,top
LED36,63.245,-38.98,0.0,top
LED37,63.245,-41.5,0.0,top
LED38,63.245,-44.02,0.0,top
LED39,63.245,-46.54,0.0,top
LED4,50.765,-38.98,0.0,top
LED40,63.245,-49.06,0.0,top
LED41,66.365,-31.42,0.0,top
LED42,66.365,-33.94,0.0,top
LED43,66.365,-36.46,0.0,top
LED44,66.365,-38.98,0.0,top
LED45,66.365,-41.5,0.0,top
LED46,66.365,-44.02,0.0,top
LED47,66.365,-46.54,0.0,top
LED48,66.365,-49.06,0.0,top
LED49,69.485,-31.42,0.0,top
LED5,50.765,-41.5,0.0,top
LED50,69.485,-33.94,0.0,top
LED51,69.485,-36.46,0.0,top
LED52,69.485,-38.98,0.0,top
LED53,69.485,-41.5,0.0,top
LED54,69.485,-44.02,0.0,top
LED55,69.485,-46.54,0.0,top
LED56,69.485,-49.06,0.0,top
LED57,72.605,-31.42,0.0,top
LED58,72.605,-33.94,0.0,top
LED59,72.605,-36.46,0.0,top
LED6,50.765,-44.02,0.0,top
LED60,72.605,-38.98,0.0,top
LED61,72.605,-41.5,0.0,top
LED62,72.605,-44.02,0.0,top
LED63,72.605,-46.54,0.0,top
LED64,72.605,-49.06,0.0,top
LED7,50.765,-46.54,0.0,top
LED8,50.765,-49.06,0.0,top
LED9,53.885,-31.42,0.0,top
R1,102.9,-128.0,90.0,top
R2,106.95,-128.0,90.0,top
R3,111.0,-128.0,90.0,top
R4,115.05,-128.0,90.0,top
R5,119.1,-128.0,90.0,top
R6,123.15,-128.0,90.0,top
R7,127.2,-128.0,90.0,top
SW1,115.5,-87.5,0.0,top
SW2,77.5,-76.45,0.0,top
SW3,77.5,-81.0,0.0,top
SW4,77.5,-85.55,0.0,top
TP1,83.5,-117.95,0.0,top
TP2,79.5,-113.5,0.0,top
U1,123.4,-75.4375,90.0,top
U2,73.8625,-130.05,180.0,top
U3,77.5,-63.5,0.0,top
U4,124.0625,-59.8,90.0,top
U5,59.75,-63.595,0.0,top
U6,124.65,-42.675,270.0,top
U7,104.0,-85.0,90.0,top
U8,103.75,-73.3375,270.0,top
X1,84.9,-47.15,0.0,top
X2,104.5,-48.0,0.0,top
Y1,126.5,-88.0,0.0,top
Y2,114.0,-72.5,0.0,top
